"Title","Other titles","BL record ID","Type of resource","Content type","Material type","BNB number","Archival Resource Key","ISBN","Name","Dates associated with name","Type of name","Role","All names","Series title","Number within series","Country of publication","Place of publication","Publisher","Date of creation/publication","Edition","Physical description","Dewey classification","BL shelfmark","Topics","Genre","Languages","Notes","Provenance"
"Agnes Grey","Jane Eyre ; The Brontë sisters : three novels ; Wuthering Heights","016057942","Monograph","Language material ; Text","Volume","GBB231548","","9781435137202","","","","","Brontë, Anne, 1820-1849 [person] ; Brontë, Emily, 1818-1848 [person] ; Brontë, Charlotte, 1816-1855 [person]","","","United States of America","New York","Barnes & Noble","2012","","ix, 850 pages, 24 cm","823.808","YK.2013.a.12307","English fiction--19th century","","English","",""
"Agnes Grey","Jane Eyre ; The great novels of the Bronte sisters ; Wuthering heights","007228986","Monograph","Language material ; Text","Volume","","","9780786700318 ; 9781854871664","","","","","Brontë, Anne, 1820-1849 [person] ; Brontë, Emily, 1818-1848 [person] ; Brontë, Charlotte, 1816-1855 [person]","","","United States of America","New York","Carroll & Graf","1993","","703 pages","823.808","H.93/3478","English fiction--Women authors ; Yorkshire (England)--Fiction ; English fiction--England--Yorkshire ; English fiction--19th century","","English","",""
"Agnes Grey","Poems ; Wuthering Heights : and, Agnes Grey","006705680","Monograph","Language material ; Text","Volume","","","","Brontë, Emily","1818-1848","person","","Brontë, Anne, 1820-1849 [person] ; Brontë, Emily, 1818-1848 [person] ; Brontë, Charlotte, 1816-1855 [person]","Collection of British authors","volume 201 and 202 [Collection of British authors]","Germany","Leipzig","Bernhard Tauchnitz","1865","Copyright edition, new edition, revised, with a biographical notice of the authors, a selection from their literary remains, and a preface, by Currer Bell","2 volumes, 16 cm","","Tauch. 201-202Ba","","","English","",""
"Agnes Grey","Poems ; Wuthering Heights ; Wuthering Heights : Agnes Grey, and Poems","000485787","Monograph","Language material ; Text","Volume","","","","","","","","Brontë, Anne, 1820-1849 [person] ; Brontë, Emily, 1818-1848 [person] ; Brontë, Charlotte, 1816-1855 [person]","New century library","","England","London","T. Nelson","1905","","xii, 333, 191, 162 pages, 1 unnumbered leaf of plates, 1 illustration, 17 cm (8°)","","012209.de.2/5","","","English","",""
"Agnes Grey","The Brontë sisters : four novels ; Villete ; Wuthering heights","006731415","Monograph","Language material ; Text","Volume","GB8236413","","9780600003427","","","","","Brontë, Anne, 1820-1849 [person] ; Brontë, Emily, 1818-1848 [person] ; Brontë, Charlotte, 1816-1855 [person]","","","England","London","Spring","1981","","1140 pages, 21 cm","823.808","Nov.47156","Fiction in English--1837-1900--Anthologies ; English fiction--19th century","","English","Originally published: London : Hamlyn, 1976",""
"Agnes Grey","Wuthering Heights ; and Agnes Grey","000259430","Monograph","Language material ; Text","Volume","","","","Brontë, Emily","1818-1848","person","author","Brontë, Anne, 1820-1849 [person] ; Brontë, Emily, 1818-1848, author [person] ; Brontë, Charlotte, 1816-1855 [person]","","","England","London","Smith, Elder","1850","A new edition revised, with a biographical notice of the authors, a selection from their literary remains, and a preface, by Currer Bell","iii-xxiv, 504 pages, 19 cm","","C.71.bb.4","","","English","",""
"Agnes Grey","Wuthering Heights ; and Agnes Grey","000259431","Monograph","Language material ; Text","Volume","","","","Brontë, Emily","1818-1848","person","author","Brontë, Anne, 1820-1849 [person] ; Brontë, Emily, 1818-1848, author [person] ; Brontë, Charlotte, 1816-1855 [person]","","","England","London","Smith, Elder","1851","A new edition revised, with a biographical notice of the authors, a selection from their literary remains, and a preface, by Currer Bell","xxiv, 504 pages, 19 cm","","12654.b.3","","","English","",""
"Agnes Grey","Wuthering Heights","000259433","Monograph","Language material ; Text","Volume","","","","Brontë, Emily","1818-1848","person","author","Brontë, Anne, 1820-1849 [person] ; Brontë, Emily, 1818-1848, author [person] ; Brontë, Charlotte, 1816-1855 [person]","","","England","London","Smith, Elder","1858","New edition","446 pages, 18 cm","","12654.b.1","","","English","",""
"Agnes Grey","Wuthering Heights","016771423","Monograph","Language material ; Text","Online resource","","","","Brontë, Emily","1818-1848","person","author","Brontë, Anne, 1820-1849 [person] ; Brontë, Emily, 1818-1848, author [person] ; Brontë, Charlotte, 1816-1855 [person]","","","England","London","Smith, Elder","1858","New edition","446 pages, 18 cm","","Digital Store 12654.b.1","","","English","",""
"Agnes Grey. 2000","Great novels of the Brontë sisters ; Jane Eyre. 2000 ; Wuthering Heights. 2000","005604752","Monograph","Language material ; Text","Volume","GBA106047","","9780752545516 ; 9780752546179","","","","","Brontë, Anne, 1820-1849 [person] ; Brontë, Emily, 1818-1848 [person] ; Brontë, Charlotte, 1816-1855 [person]","","","England","Bath","Parragon","2000","","748 pages, 23 cm","823.808","Nov.2002/780","","","English","Originally published: 1968",""
"Agnès Grey","Agnes Grey ; Shirley : et Agnès Grey ; Shirley. French","000259305","Monograph","Language material ; Text","Volume","","","","Brontë, Charlotte","1816-1855","person","","Romey, Charles, 1804-1874 [person] ; Brontë, Anne, 1820-1849 [person] ; Brontë, Charlotte, 1816-1855 [person] ; Rolet, A. [person]","","","France","Paris","L. Hachette","1859","","2 volumes, 18 cm","","12602.d.3","","","French","Translations of: Shirley, by Charlotte Brontë, and Agnes Grey, by Anne Brontë ; Two novels",""
"Albion and Marina","","016860552","Monograph","Language material ; Text","Volume","","","9780968196175","Brontë, Charlotte","1816-1855","person","","McMaster, Juliet [person] ; Brontë, Charlotte, 1816-1855 [person]","","","Canada","Edmonton","Juvenilia Press","1999","","xxvi, 44 pages, illustrations","","","","","English","",""
"Albion and Marina","","016878265","Monograph","Language material ; Text","Volume","","","","Brontë, Charlotte","1816-1855","person","author","Brontë, Charlotte, 1816-1855, author [person] ; Chopoidalo, Cindy, 1974-, writer [person] ; Clark, Karen (Karen May), writer [person] ; McMaster, Juliet, editor [person] ; Goetze, Shannon, illustrator [person]","","","Australia","Sydney","Juvenilia Press","2011","","xxvi, 44 pages, black and white illustrations, 22 cm","823.8","YD.2014.a.3206","","","English","Originally published: Edmonton, Canada : Juvenilia Press, 1999",""
"Albion and Marina","Agnes Grey ; Emma ; Farewell to Angria ; Jane Eyre ; Mina Laury ; Poems ; Professor ; Shirley ; Tenant of Wildfell Hall ; The Brontës ; Villette ; Wuthering Heights","000485582","Monograph","Language material ; Text","Volume","","","","","","","","Brontë, Charlotte, 1816-1855 [person] ; Bentley, Phyllis Eleanor, 1894-1977, compiler ; writer [person] ; Brontë, Anne, 1820-1849 [person] ; Tonbridge Printers, printer [organisation] ; Brontë, Emily, 1818-1848 [person] ; Allan Wingate (Firm), publisher [organisation]","","","England","England ; London ; Tonbridge ; Tonbridge, Kent","Allan Wingate","1949","Heather edition, arranged and introduced by Phyllis Bentley","6 volumes, 19 cm (8°)","","012274.ff.3","","Novel ; Poetry or verse","English","'The Heather edition of the works of the Brontës first published by Allan Wingate (Publishers) Ltd'--Title page verso ; Collective title from verso of half title pages on each volume",""
"Albion and Marina","Emma ; Farewell to Angria ; Mina Laury ; Poems ; Professor ; The Brontës : Charlotte Brontë: Stories from Angria, The professor, Emma, Poems ; Emily Brontë: Poems ; Anne Brontë: Poems","019436973","Monograph","Language material ; Text","Volume","","","","","","","","Brontë, Anne, 1820-1849 [person] ; Brontë, Emily, 1818-1848 [person] ; Brontë, Charlotte, 1816-1855 [person] ; Bentley, Phyllis Eleanor, 1894-1977, writer [person]","","","England","London","Allan Wingate","1949","Heather edition, arranged and introduced by Phyllis Bentley","462 pages, 19 cm","","W73/4094","","","English","",""
"All passion spent : a revaluation of Jane Eyre","","003265639","Monograph","Language material ; Text","Volume","","","","Scargill, Matthew Henry","","person","","Scargill, Matthew Henry [person]","","","","","","1950","","","","11860.ff.18","Brontë, Charlotte, 1816-1855","","English","reprinted from the University of Toronto Quarterly",""
"Always Emily","","016697668","Monograph","Language material ; Text","Volume","GBB444289","","9781452111742","MacColl, Michaela","","person","author","MacColl, Michaela, author [person]","","","United States of America","San Francisco","Chronicle","2014","","280 pages, 22 cm","813.6","Nov.2015/2059","Brontë, Emily, 1818-1848--Fiction ; Brontë, Charlotte, 1816-1855--Fiction ; Great Britain--History--1800-1837--Fiction","Detective and mystery fiction ; Fiction ; Young adult fiction","English","",""
"Always Emily","","017124522","Monograph","Language material ; Text","Volume","GBB539433","","9781452141305","MacColl, Michaela","","person","author","MacColl, Michaela, author [person]","","","United States of America","San Francisco","Chronicle","2015","","283 pages, 21 cm","813.6","","Brontë, Emily, 1818-1848--Fiction ; Brontë, Charlotte, 1816-1855--Fiction ; Great Britain--History--1800-1837--Fiction","Detective and mystery fiction ; Fiction ; Young adult fiction","English","",""
"An Account of her honeymoon","","000485591","Monograph","Language material ; Text","Volume","","","","Brontë, Charlotte","1816-1855","person","","Brontë, Charlotte, 1816-1855 [person]","","","England","Leeds","Brotherton Library","1930","","14 pages (8°)","","010920.bb.7","","","English","One of an edition of thirty copies printed for private circulation",""
"An early essay by Charlotte Brontë","","000485744","Monograph","Language material ; Text","Volume","","","","Brontë, Charlotte","1816-1855","person","","Spielmann, M. H. (Marion Harry), 1858-1948 [person] ; Brontë, Charlotte, 1816-1855 [person] ; Heger, Constantin-Georges, 1809-1896 [person]","","","England","Bradford","","1924","","13 pages (8°)","","11826.e.41","Millevoye, Charles, 1782-1816","","English","On Millevoye's 'La Chute des feuilles.' In French, with corrections by Professor C. Heger ; number 17 of an edition of thirty copies",""
"An edition of the early writings of Charlotte Bronte","","005722359","Monograph","Language material ; Text","Volume","","","9780631129882","Brontë, Charlotte","1816-1855","person","","Brontë, Charlotte, 1816-1855 [person] ; Alexander, Christine (Christine Anne) [person]","","","England","Oxford","Blackwell","1986","","","","87/24780","","","English","",""
"An edition of the early writings of Charlotte Bronte","","006731748","Monograph","Language material ; Text","Volume","GB8606944","","9780631129882","Brontë, Charlotte","1816-1855","person","","Brontë, Charlotte, 1816-1855 [person] ; Alexander, Christine (Christine Anne) [person]","","","England","Oxford","Basil Blackwell ; Shakespeare Head","1986","","xxiv, 383 pages, facsimiles, 24 cm","828.809","YH.1987.b.299","English literature--1837-1900--Texts","","English","Includes index",""
"An edition of the early writings of Charlotte Brontë","","005641144","Monograph","Language material ; Text","Volume","GB9104148","","9780631129899 ; 9780631179429","Brontë, Charlotte","1816-1855","person","","Brontë, Charlotte, 1816-1855 [person] ; Alexander, Christine (Christine Anne) [person]","","","England","Oxford","Shakespeare Head by Basil Blackwell","1991","","2 volumes, facsimiles, 24 cm","823.8","","English fiction","","English","Includes index",""
"An ethics of becoming : configurations of feminine subjectivity in Jane Austen, Charlotte Bronte, and George Eliot","","013326212","Monograph","Language material ; Text","Volume","GBA592454","","9780415975377","Cho, Sonjeong","","person","author","Cho, Sonjeong, author [person]","Literary criticism and cultural theory","","England ; United States of America","London ; New York","Routledge","2006","","viii, 254 pages, 24 cm","823.8099287","YC.2006.a.3043 ; m05/.40447","Eliot, George, 1819-1880--Ethics ; English fiction--Women authors--History and criticism ; Brontë, Charlotte, 1816-1855--Ethics ; Femininity in literature ; Bildungsromans--History and criticism ; Women and literature--England--History--19th century ; Austen, Jane, 1775-1817--Ethics ; Feminist fiction, English--History and criticism ; Subjectivity in literature ; Feminism and literature--England--History--19th century ; English fiction--19th century--History and criticism ; Ethics in literature","","English","",""
"An hour with Charlotte Brontë : or, Flowers from a Yorkshire moor","Works. Selections","000485764","Monograph","Language material ; Text","Volume","","","","Brontë, Charlotte","1816-1855","person","","Holloway, Laura C. (Laura Carter), 1848-1930 [person] ; Brontë, Charlotte, 1816-1855 [person]","","","United States of America","New York","Funk & Wagnalls","1883","","144 pages (8°)","","12271.bb.2","","","English","Selections from Charlotte Brontë's writings and correspondence, with a biographical sketch by Laura C. Holloway",""
