"Dewey classification","BL record ID","Type of resource","Content type","Material type","BNB number","Archival Resource Key","ISBN","Name","Dates associated with name","Type of name","Role","All names","Title","Variant titles","Series title","Number within series","Country of publication","Place of creation/publication","Publisher","Date of creation/publication","Edition","Physical description","BL shelfmark","Topics","Genre","Languages","Notes","Provenance"
"790.2","009161751","Monograph","Language material ; Text","Online resource","","","","Menon, Patricia","","person","","Menon, Patricia [person]","New Abelards : the mentor-lover in the novels of Jane Austen, Charlotte Bronte and George Eliot","","","","","","University of London Press","1998","","","299888","Performing arts ; Mass media ; Austen, Jane, 1775-1817 ; Brontë, Charlotte, 1816-1855 ; Literature ; Eliot, George, 1819-1880","","","",""
"791.436","019653905","Monograph","Language material ; Still image ; Text","Volume","GBB9K3806","","9780367880095","Laird, Karen E.","","person","author","Laird, Karen E., author [person]","The art of adapting Victorian literature, 1848-1920 : dramatizing Jane Eyre, David Copperfield, and The woman in white","","","","England","London","Routledge","2019","","1 volume, black and white illustrations, 24 cm","","Dickens, Charles, 1812-1870 ; English fiction--19th century--Adaptations ; Brontë, Charlotte, 1816-1855 ; Collins, Wilkie, 1824-1889","Adaptation","English","Originally published: Farnham, Surrey: Ashgate, 2015",""
"796.51094283","009485681","Monograph","Language material ; Text","Volume","GB9857191","","9780953084104","Petersen, Rhonda","","person","","Petersen, Rhonda [person]","The Brontës by the sea : including walks : an account of Charlotte and Anne Brontë's visits to the East and North Yorkshire Coast","","","","England","Bridlington","Bretlington Publishing","1997","","72 pages, illustrations, maps, portraits, 21 cm","YC.1998.a.3625","Brontë, Anne, 1820-1849 ; Brontë, Charlotte, 1816-1855 ; Trails--England--Humberside ; North Yorkshire (England)--Guidebooks ; Humberside (England)--Description--Guide-books ; Trails--England--North Yorkshire","Guidebook","English","",""
"800","009161751","Monograph","Language material ; Text","Online resource","","","","Menon, Patricia","","person","","Menon, Patricia [person]","New Abelards : the mentor-lover in the novels of Jane Austen, Charlotte Bronte and George Eliot","","","","","","University of London Press","1998","","","299888","Performing arts ; Mass media ; Austen, Jane, 1775-1817 ; Brontë, Charlotte, 1816-1855 ; Literature ; Eliot, George, 1819-1880","","","",""
"800","018441330","Monograph","Language material ; Text","Volume","","","9782343051291","Kandji, Alioune Badara","","person","","Kandji, Alioune Badara [person]","Palimpsestes brontëens : relire et réécrire les soeurs Brontë","","Littératures et civilisations","no 4 [Littératures et civilisations]","France","Paris","Harmattan","2014","","214 pages, illustrations, 22 cm","","Rezeption ; Brontë, Anne, 1820-1849--Criticism and interpretation ; Brontë, Anne, 1820-1849--Influence ; Brontë, Emily, 1818-1848 ; Influence (Literary, artistic, etc.) ; Brontë, Charlotte, 1816-1855--Influence ; Brontë family ; Brontë, Familie ; Brontë, Charlotte, 1816-1855--Criticism and interpretation ; Brontë, Emily, 1818-1848--Influence ; Brontë, Emily, 1818-1848--Criticism and interpretation","Criticsm and interpretation","French","",""
"808.3","013093786","Monograph","Language material ; Text","Volume","GBA549654","","9781903007075","","","","","Brontë Society [organisation] ; Stoneman, Patsy, editor [person] ; Knight, Charmian, editor [person]","The Brontë influence","","Brontë Society occasional publications","8 [Brontë Society occasional publications]","England","Haworth","Brontë Society","2004","","87 pages, illustrations, 21 cm","YC.2005.a.3308","English fiction ; Brontë, Charlotte, 1816-1855--Influence ; Brontë, Emily, 1818-1848--Influence ; Brontë, Anne, 1820-1849--Influence","","English","",""
"809.034","015527797","Monograph","Language material ; Text","Volume","GBB048821","","9781433109133","Walter, Hugo","1959-","person","","Walter, Hugo, 1959- [person]","Sanctuaries of light in nineteenth-century European literature","","Studies on themes and motifs in literature","volume 102 [Studies on themes and motifs in literature]","United States of America","New York","Peter Lang","2010","","x, 256 pages, 24 cm","8491.792200","Refuge in literature ; Wordsworth, William, 1770-1850--Criticism and interpretation ; Eichendorff, Joseph, Freiherr von, 1788-1857--Criticism and interpretation ; Hoffmann, E. T. A. (Ernst Theodor Amadeus), 1776-1822--Criticism and interpretation ; Brontë, Charlotte, 1816-1855--Criticism and interpretation ; European literature--19th century--History and criticism","","English","",""
"809.393522","016227910","Monograph","Language material ; Text","Volume","","","9780814211991","Green, Laura Morgan","","person","author","Green, Laura Morgan, author [person]","Literary identification from Charlotte Brontë to Tsitsi Dangarembga","","Theory and interpretation of narrative","","United States of America","Columbus","Ohio State University Press","2012","","viii, 230 pages, 24 cm","m12/.17845","Hall, Radclyffe--Criticism and interpretation ; Beauvoir, Simone de, 1908-1986--Criticism and interpretation ; Kincaid, Jamaica--Criticism and interpretation ; Fiction--Women authors--History and criticism ; Identification (Psychology) in literature ; Bildungsromans--History and criticism ; Winterson, Jeanette, 1959---Criticism and interpretation ; Woolf, Virginia, 1882-1941--Criticism and interpretation ; Brontë, Charlotte, 1816-1855--Criticism and interpretation ; Dangarembga, Tsitsi--Criticism and interpretation ; Eliot, George, 1819-1880--Criticism and interpretation","","English","",""
"810.99287","012589967","Monograph","Language material ; Text","Volume","GB9720940","","9780195099140 ; 9780195099157","Kaplan, Carla","","person","","Kaplan, Carla [person]","The erotics of talk : women's writing and feminist paradigms","","","","England ; United States of America","New York ; Oxford","Oxford University Press","1996","","x, 240 pages, 24 cm","97/08363 ; YC.1997.b.2568","Walker, Alice, 1944- ; Jacobs, Harriet Ann, 1813-1897 ; American literature--Women authors--History and criticism--Theory, etc ; Hurston, Zora Neale ; Women and literature ; Literary form ; Brontë, Charlotte, 1816-1855 ; Narration (Rhetoric) ; Feminism and literature--United States--History--20th century","","English","bibliography: p207-225. - Includes index",""
"813.009352352","017856366","Monograph","Language material ; Text","Volume","GBB669304","","9781137590602","Kapurch, Katie","1983-","person","author","Kapurch, Katie, 1983-, author [person]","Victorian melodrama in the twenty-first century : Jane Eyre, Twilight, and the mode of excess in girl culture","","","","United States of America","New York","Palgrave Macmillan","2016","","1 volume, 21 cm","","English literature--19th century--Influence ; Melodrama--History and criticism ; Brontë, Charlotte, 1816-1855 ; American fiction--21st century--History and criticism ; Melodrama in motion pictures ; Heroines in literature ; Girls in literature ; Meyer, Stephenie, 1973-","","English","",""
"813.009352352","019588461","Monograph","Language material ; Text","Online resource","GBB9H8558","","9781137581693","Kapurch, Katie","1983-","person","author","Kapurch, Katie, 1983-, author [person]","Victorian melodrama in the twenty-first century : Jane Eyre, Twilight, and the mode of excess in girl culture","","","","United States of America","New York","Palgrave Macmillan","2016","","1 online resource","ELD.DS.466477","Fan fiction ; English literature--19th century--Influence ; Twilight saga (Meyer, Stephenie) ; Emotions in literature ; Brontë, Charlotte, 1816-1855 ; Melodrama in motion pictures ; Heroines in literature ; Girls in literature ; Girls--Books and reading ; Meyer, Stephenie, 1973- ; Jane Eyre (Brontë, Charlotte) ; English literature--Influence ; American fiction--21st century--History and criticism ; Excess (Philosophy) ; Melodrama--History and criticism ; Fan fiction--History and criticism ; LITERARY CRITICISM--American--General","Criticsm and interpretation","English","",""
"813.4","008503430","Monograph","Language material ; Text","Volume","","","9781572330832","Doyle, Christine","","person","","Doyle, Christine [person]","Louisa May Alcott and Charlotte Brontë : transatlantic translations","","","","United States of America","Knoxville","University of Tennessee Press","2000","1st edition","","m00/43455","Feminism in literature ; American fiction--English influences ; Women and literature--England--History--19th century ; Brontë, Charlotte, 1816-1855--Influence ; Women and literature--United States--History--19th century ; Feminist fiction--History and criticism ; Alcott, Louisa May, 1832-1888--Knowledge--Literature","","English","",""
"813.4099287","013271568","Monograph","Language material ; Text","Volume","GBA717475","","9780874138863","Seelye, John","1931-2015","person","","Seelye, John, 1931-2015 [person]","Jane Eyre's American daughters : from The wide, wide world to Anne of Green Gables : a study of marginalized maidens and what they mean","","","","United States of America","Newark, Delaware","Associated University Presses ; University of Delaware Press","2005","","368 pages, 25 cm","YC.2007.a.3220 ; m05/.31118","Canadian fiction--English influences ; Women in literature ; American fiction--English influences ; Marginality, Social, in literature ; Montgomery, L. M. (Lucy Maud), 1874-1942 ; Women and literature--North America ; Warner, Susan, 1819-1885 ; American fiction--Women authors--History and criticism ; Brontë, Charlotte, 1816-1855--Appreciation--North America ; Gaskell, Elizabeth Cleghorn, 1810-1865","","English","",""
"813.54","014771684","Monograph","Language material ; Text","Volume","GBA8B6489","","9781402212376","Newark, Elizabeth","","person","","Newark, Elizabeth [person] ; Brontë, Charlotte, 1816-1855 [person]","Jane Eyre's daughter","Jane Eyre","","","United States of America","Naperville, Illinois","Sourcebooks Casablanca","2008","","xxxii, 303 pages, 20 cm","H.2009/2765","Yorkshire (England)--History--19th century--Fiction ; Mothers and daughters--Fiction ; Eyre, Jane (Fictitious character)--Fiction","Fiction","English","",""
"813.6","013386732","Monograph","Language material ; Text","Volume","GBA617187","","9781416511472","Vandever, Jennifer","1968-","person","","Vandever, Jennifer, 1968- [person]","The Brontë project : a novel of passion, desire and good PR","","","","England","London","Pocket","2006","","viii, 279 pages, 20 cm","H.2007/2870","Women teachers--Fiction ; Literary historians--Fiction ; Brontë, Charlotte, 1816-1855--Correspondence--Fiction ; Dating (Social customs)--Fiction","Correspondence ; Fiction ; Romance fiction","English","Originally published: New York: Shaye Areheart; London: Simon & Schuster, 2005",""
"813.6","015557754","Monograph","Language material ; Text","Volume","GBB063691","","9780857200037","Erwin, Sherri Browning","","person","","Erwin, Sherri Browning [person] ; Brontë, Charlotte, 1816-1855 [person]","Jane Slayre","Jane Eyre","","","England","London","Pocket","2010","","396 pages, 21 cm","H.2012/.8689","Governesses--Fiction ; Vampires--Fiction ; England--Social life and customs--Fiction","Fiction ; Humour or satire","English","",""
"813.6","015610992","Monograph","Language material ; Text","Volume","GBB089255","","9780316084208","Lindner, April","","person","","Lindner, April [person] ; Brontë, Charlotte, 1816-1855 [person]","Jane","Jane Eyre","","","United States of America","New York","Poppy","2010","","373 pages, 22 cm","Nov.2011/1365","Rock musicians--Fiction ; Secrecy--Fiction ; Nannies--Fiction","Fiction ; Romance fiction","English","",""
"813.6","015841229","Monograph","Language material ; Text","Volume","GBB180600","","9780316084192","Lindner, April","","person","","Lindner, April [person] ; Brontë, Charlotte, 1816-1855 [person]","Jane","Jane Eyre","","","England","London","Poppy","2011","","373 pages, 22 cm","","Rock musicians--Fiction ; Secrecy--Fiction ; Nannies--Fiction","Fiction ; Romance fiction ; Young adult fiction","English","Based on novel, Jane Eyre by Charlotte Brontë",""
"813.6","016009882","Monograph","Language material ; Text","Volume","GBB204145","","9781423624745","Adams, Jennifer","1970-","person","author","Oliver, Alison, illustrator [person] ; Brontë, Charlotte, 1816-1855 [person] ; Adams, Jennifer, 1970-, author [person]","Jane Eyre : a counting primer","Jane Eyre","Little Miss Bronte","","England ; United States of America","Enfield ; Salt Lake City, Utah","Gibbs Smith","2012","","1 volume, colour illustrations, 18 cm","CLE.2012.a.429","Counting--Juvenile literature","Board book ; Children's fiction ; Children's literature","English","Board book",""
